Game,System,Publisher,Developer,Category,Year
Adventure Island 3,Nintendo Game Boy,Hudson Soft,Hudson Soft,Action,1993.0
Adventure Island II - Aliens in Paradise,Nintendo Game Boy,Hudson Soft,Hudson Soft,Action,1992.0
Adventures of Batman and Robin,Sega Game Gear,Sega,Novotrade International,Action,1995.0
Adventures of Rad Gravity,Nintendo NES,Activision,Interplay Productions,Action,1990.0
Adventures of Shuggy,Microsoft Xbox Live Arcade,Valcon Games,Smudged Cat Games,Action,2011.0
Adventures of Tom Sawyer,Nintendo NES,SETA Corporation,SETA Corporation,Action,1989.0
Adventures of Yogi Bear,Sega Genesis,Empire Software,Blue Turtle,Action,1994.0
Adventures of Yogi Bear,Sega Nomad,Empire Software,Blue Turtle,Action,1994.0
AFRO SAMURAI,Microsoft Xbox 360,Namco,SURGE,Action,2009.0
After Burner,Sinclair ZX Spectrum,Activision,Sega,Action,1988.0
After Burner,MSX,Activision,Sega,Action,1988.0
After Burner,MSX 2,Activision,Sega,Action,1988.0
After Burner,Commodore 64,Activision,Sega,Action,1988.0
After Burner,Atari ST,Activision,Sega,Action,1988.0
After Burner,Commodore Amiga,Activision,Sega,Action,1988.0
After Burner,Sega Master System,Sega,Sega,Action,1988.0
After Burner,Amstrad CPC,Activision,Sega,Action,1988.0
After Burner,Nintendo NES,Tengen Ltd.,Sega,Action,1989.0
After the War,Amstrad CPC,Dinamic Software,Dinamic Software,Action,1989.0
After the War,Commodore Amiga,Dinamic Software,Dinamic Software,Action,1989.0
After the War,Atari ST,Dinamic Software,Dinamic Software,Action,1989.0
After the War,Commodore 64,Dinamic Software,Dinamic Software,Action,1989.0
After the War,MSX 2,Dinamic Software,Dinamic Software,Action,1989.0
After the War,MSX,Dinamic Software,Dinamic Software,Action,1989.0
After the War,Sinclair ZX Spectrum,Dinamic Software,Dinamic Software,Action,1989.0
Agent X II: The Mad Prof's Back!,Commodore 64,Mastertronic,Software Creations,Action,1987.0
Ah Diddums,Commodore 64,Imagine Software,Imagine Software,Action,1984.0
Ah Diddums,Sinclair ZX Spectrum,Imagine Software,Imagine Software,Action,1984.0
Air Conflicts: Secret Wars,Valve Steam,bitComposer Games,Games Farm,Action,2011.0
Air Hockey-e,Nintendo Game Boy Advance,Nintendo,Nintendo,Action,2002.0
Air Raiders,Atari 2600,Mattel Electronics,Mattel Electronics,Action,1982.0
Airstrike USA,Atari ST,Digital Integration,Digital Integration,Action,1990.0
Airstrike USA,Commodore Amiga,Spotlight Software,Digital Integration,Action,1990.0
Akumajo Dracula X: Chi no Rondo,NEC PC Engine CD,Konami,Konami,Action,1993.0
Akumajo Dracula X: Chi no Rondo,NEC TurboGrafx CD,Konami,Konami,Action,1993.0
Akumajo Dracula X: Gekka no Yasoukyoku,Sega Saturn,Konami,Konami,Action,1998.0
Akumajo Special: Boku Dracula-kun,Nintendo NES,Konami,Konami,Action,1990.0
Akumajou Dracula,Nintendo SNES,Konami,Konami,Action,1991.0
Akumajou Dracula Mokushiroku Gaiden: Legend of Cornell,Nintendo N64,Konami,Konami,Action,1999.0
Akumajou Dracula XX,Nintendo SNES,Konami,Konami,Action,1995.0
Alan Wake,Valve Steam,Remedy Entertainment,Remedy Entertainment,Action,2012.0
Alan Wake,Microsoft Xbox 360,Microsoft,Remedy Games,Action,2010.0
Alaskan Adventures,Microsoft Xbox 360,Activision,Fun Labs,Action,2006.0
Alcazar: The Forgotten Fortress,Commodore 64,Activision,Activision,Action,1985.0
Ale Hop,MSX,Topo Soft,Topo Soft,Action,1988.0
Ale Hop,MSX 2,Topo Soft,Topo Soft,Action,1988.0
Alex Kidd in Miracle World,Sega Master System,Sega,Sega,Action,1986.0
Alex Kidd in Shinobi World,Sega Master System,Sega,Sega,Action,1990.0
Alex Kidd in the Enchanted Castle,Sega Genesis,Sega,Sega,Action,1989.0
Alex Kidd in the Enchanted Castle,Sega Nomad,Sega,Sega,Action,1989.0
Alex Kidd: The Lost Stars,Sega Master System,Sega,Sega,Action,1989.0
ALF: The First Adventure,Apple II,Box Office Software,Box Office Software,Action,1987.0
ALF: The First Adventure,Commodore 64,Box Office Software,Box Office Software,Action,1988.0
ALF: The First Adventure,Atari ST,Box Office Software,Box Office Software,Action,1989.0
Alfred Challenge,Atari 2600,Ébivision,Ébivision,Action,
Alfred Chicken,Commodore Amiga CD32,Mindscape,Twilight,Action,1993.0
Alfred Chicken,Nintendo NES,Mindscape,Twilight,Action,1994.0
Alfred Chicken,Nintendo Game Boy,Mindscape,Twilight,Action,1994.0
Alfred Chicken,Sony Playstation,Sony Computer Entertainment,Mobius Entertainment,Action,2002.0
Alfred Chicken,Commodore Amiga,Mindscape,Twilight,Action,1993.0
Alias,Sony Playstation 2,Acclaim Entertainment,Acclaim Entertainment,Action,2004.0
Alias,Microsoft Xbox,Acclaim Entertainment,Acclaim Entertainment,Action,2004.0
Alibaba and 40 Thieves,MSX 2,ICM,ICM,Action,1984.0
Alibaba and 40 Thieves,MSX,ICM,ICM,Action,1984.0
Alice: Madness Returns,Microsoft Xbox 360,Electronic Arts,Spicy Horse,Action,
Alien,Atari 2600,Fox Interactive,Fox Interactive,Action,1982.0
Alien 3,Commodore 64,Acclaim Entertainment,Probe Software Ltd.,Action,1992.0
Alien Breed 2: Assault,Valve Steam,Team17 Software,Team17 Software,Action,2010.0
Alien Breed 2: Assault,Microsoft Xbox Live Arcade,Microsoft,Team17 Software,Action,2010.0
Alien Breed 3: Descent,Microsoft Xbox Live Arcade,Microsoft,Team17 Software,Action,2010.0
Alien Breed 3: Descent,Valve Steam,Team17 Software,Team17 Software,Action,2010.0
Alien Breed Episode 1,Microsoft Xbox Live Arcade,Microsoft,Team17 Software,Action,2010.0
Alien Breed Trilogy,Microsoft Xbox 360,Mastertronic,Team 17,Action,
Alien Breed: Impact,Valve Steam,Team17 Software,Team17 Software,Action,2010.0
Alien Front Online,Sega Dreamcast,Sega,Wow Entertainment,Action,2001.0
Alien Hallway,Valve Steam,Sigma Team Inc.,Sigma,Action,2011.0
Alien Hominid HD,Microsoft Xbox Live Arcade,Microsoft,The Behemoth,Action,2010.0
Alien Swarm,Valve Steam,Valve,Valve,Action,2010.0
Alien Vs. Predator,Nintendo SNES,Activision,Information Global Service,Action,1993.0
Alien vs. Predator,Atari Lynx,Images,Rebellion,Action,1993.0
Alien vs. Predator: The Last of His Clan,Nintendo Game Boy,Activision,Ask Kodansha,Action,1993.0
Alien Zombie Megadeath,Valve Steam,Pom Pom Games,PomPom,Action,2011.0
Alien³,Sega Game Gear,Arena Entertainment,Probe,Action,1994.0
Aliens,Amstrad CPC,Electric Dreams Software,Software Studios,Action,1987.0
Aliens,Commodore 64,Electric Dreams Software,Software Studios,Action,1987.0
Aliens,MSX,Electric Dreams Software,Software Studios,Action,1987.0
Aliens,Sinclair ZX Spectrum,Electric Dreams Software,Software Studios,Action,1987.0
Aliens,MSX 2,Electric Dreams Software,Software Studios,Action,1987.0
Aliens vs. Predator: Requiem,Sony PSP,Sierra On-Line,Rebellion,Action,2007.0
Aliens: The Computer Game,Commodore 64,Electric Dreams Software,Activision,Action,1987.0
Alisia Dragoon,Sega Nomad,Sega,Game Arts,Action,1992.0
Alisia Dragoon,Sega Genesis,Sega,Game Arts,Action,1992.0
Alley Cat,Atari 8-bit,Synapse Software,Synapse Software,Action,1983.0
Alleyway,Nintendo Game Boy,Nintendo,Intelligent Systems,Action,1989.0
Alone In The Dark,Microsoft Xbox 360,Atari,Eden Games,Action,2008.0
Alpha Protocol,Microsoft Xbox 360,Sega,Obsidian Entertainment,Action,2010.0
Alpiner,Texas Instruments TI 99/4A,Texas Instruments,Texas Instruments,Action,1982.0
Altered Beast,Sega Nomad,Sega,Sega,Action,1989.0
Altered Beast,Valve Steam,Sega,Sega,Action,2010.0
Altered Beast,Commodore 64,Activision,Sega,Action,1989.0
Altered Beast,Commodore Amiga,Activision,Sega,Action,1989.0
Altered Beast,Atari ST,Activision,Sega,Action,1989.0
Altered Beast,MSX 2,Activision,Sega,Action,1988.0
Altered Beast,Sinclair ZX Spectrum,Activision,Sega,Action,1988.0
Altered Beast,MSX,Activision,Sega,Action,1988.0
Altered Beast,Amstrad CPC,Activision,Sega,Action,1989.0
Altered Beast,Sega Master System,Sega,Sega,Action,1989.0
Altered Beast,Sega Genesis,Sega,Sega,Action,1989.0
Altered Beast,Nintendo NES,Asmik Corporation,Sega,Action,1990.0
Altered Beast,NEC TurboGrafx CD,NEC Corporation,Sega,Action,1989.0
Altered Beast,NEC PC Engine CD,NEC Corporation,Sega,Action,1989.0
Altered Space: A 3-D Alien Adventure,Nintendo Game Boy,Sony Computer Entertainment,Software Creations,Action,1991.0
Altitude,Valve Steam,Nimbly Games,Nimbly Games,Action,2009.0
Amagon,Nintendo NES,Sammy Corporation,Aicom Corporation,Action,1989.0
Amaurote,Amstrad CPC,Mastertronic,Binary Design,Action,1987.0
Amaurote,Atari 8-bit,Mastertronic,Binary Design,Action,1987.0
Amaurote,MSX,Mastertronic,Binary Design,Action,1987.0
Amaurote,Sinclair ZX Spectrum,Mastertronic,Binary Design,Action,1987.0
Amaurote,MSX 2,Mastertronic,Binary Design,Action,1987.0
Amaurote,Commodore 64,Mastertronic,Binary Design,Action,1987.0
Amazing Maze,Bally Astrocade,Bally Mfg. Corp,Bally Mfg. Corp,Action,1979.0
Amazing Snake (Beta 4),Coleco Vision,Public Domain,Serge-Eric Tremblay,Action,2000.0
Amazing Snake (Beta 5),Coleco Vision,Public Domain,Serge-Eric Tremblay,Action,2000.0
Amazing Snake (Beta X),Coleco Vision,Public Domain,Serge-Eric Tremblay,Action,2000.0
Amazing Spider-Man,Atari ST,Paragon Software,Oxford Digital Enterprises,Action,1990.0
Amazing Spider-Man,Commodore Amiga,Paragon Software,Oxford Digital Enterprises,Action,1990.0
Amazing Spider-Man vs. The Kingpin,Sega Game Gear,Flying Edge,Sega,Action,1992.0
Amazing Spider-Man vs. The Kingpin,Sega Master System,Sega,Sega,Action,1990.0
Amazing Spider-Man vs. The Kingpin,Sega CD,Sega,Sega,Action,1993.0
Amegas,Commodore Amiga,Pandora,reLINE Software,Action,1987.0
American Idol,Nintendo Game Boy Advance,Codemasters,Mobius Entertainment,Action,2003.0
American Idol,Sony Playstation 2,Codemasters,Hothouse Creations,Action,2003.0
American Wasteland,Microsoft Xbox 360,Activision,Neversoft,Action,2005.0
America's Army 3,Valve Steam,U.S. Army,U.S. Army,Action,2009.0
Amidar,Atari 2600,Parker Brothers,Konami,Action,1983.0
Amiganoid,Commodore Amiga,Digital Illusions,Digital Illusions,Action,1993.0
Amnesia: The Dark Descent,Valve Steam,Frictional Games,Frictional Games,Action,2010.0
Amped 3,Microsoft Xbox 360,2K Games,Indie Built,Action,2005.0
An American Tail: Fievel Goes West,Nintendo SNES,Hudson Soft,Hudson Soft,Action,1994.0
An American Tail: Fievel's Gold Rush,Nintendo Game Boy Advance,Swing! Entertainment Media,Hokus Pokus,Action,2001.0
ANARCHY REIGNS,Microsoft Xbox 360,Sega,Platin,Action,2012.0
Ancients of Ooga,Microsoft Xbox Live Arcade,Microsoft,Ninjabee,Action,2010.0
Ancipital,Commodore 64,Llamasoft,Llamasoft,Action,1984.0
Andy Capp: The Game,Commodore 64,Mirrorsoft,Blitter Animations,Action,1987.0
Anett Futatabi,Sega CD,Wolf Team,Wolf Team,Action,1993.0
Animaniacs,Nintendo SNES,Konami,Konami,Action,1994.0
Animaniacs,Nintendo Game Boy,Konami,Factor 5,Action,1995.0
Animaniacs: The Great Edgar Hunt,Nintendo GameCube,Ignition Entertainment,Warthog,Action,2005.0
Anomaly: Warzone Earth,Valve Steam,11 bit studios,11 bit studios,Action,2011.0
Another World,Nintendo SNES,Interplay Productions,Interplay Productions,Action,1992.0
Ant Attack,Commodore 64,Quicksilva Ltd.,Quicksilva Ltd.,Action,1984.0
Ant Attack,Sinclair ZX Spectrum,Quicksilva Ltd.,Quicksilva Ltd.,Action,1983.0
Ant Bully,Nintendo GameCube,Midway Games,Artificial Mind & Movement,Action,
Ant Bully,Sony Playstation 2,Midway Games,Artificial Mind & Movement,Action,2006.0
Antarctic Adventure,Coleco Vision,Coleco,Konami,Action,1984.0
Antarctic Adventure,Nintendo NES,Konami,Konami,Action,1985.0
Antarctic Adventure,MSX,Konami,Konami,Action,1983.0
Antarctic Adventure,MSX 2,Konami,Konami,Action,1983.0
Antz,Nintendo Game Boy Color,Infogrames,CLCE,Action,1999.0
APOX,Valve Steam,BlueGiant Interactive,BlueGiant Interactive,Action,2011.0
APOX: Legend,Valve Steam,BlueGiant Interactive,BlueGiant Interactive,Action,2011.0
Apple Cider Spider,Commodore 64,Sierra On-Line,Sierra On-Line,Action,1984.0
Apple Cider Spider,Apple II,Sierra On-Line,Sierra On-Line,Action,1983.0
Apple Panic,Atari 8-bit,Brøderbund Software,Brøderbund Software,Action,1982.0
Apple Panic,Commodore VIC-20,Creative Software,Brøderbund Software,Action,1982.0
Apprentice,Philips CD-i,Philips Interactive Media,Vision Factory,Action,1994.0
Aqua,Microsoft Xbox Live Arcade,Microsoft,Games Distillery,Action,2010.0
AquaNox,Valve Steam,Nordic Games,Nordic Games,Action,2001.0
AquaNox 2: Revelation,Valve Steam,Nordic Games,Nordic Games,Action,2003.0
Arabian Nights,Commodore Amiga,Krisalis Software,Krisalis Software,Action,1993.0
Arabian Nights,Commodore Amiga CD32,Krisalis Software,Krisalis Software,Action,1993.0
Arachnophobia,Amstrad CPC,Titus Software,BlueSky Software,Action,1991.0
Arachnophobia,Commodore 64,Walt Disney Computer Sof...,BlueSky Software,Action,1991.0
Arcade Gears 1: Pu-Li-Ru-La,Sega Saturn,Xing Entertainment,Taito Corporation,Action,1997.0
Arctic Moves,Atari ST,Dinamic Software,Dinamic Software,Action,2000.0
Arctic Tale,Nintendo Game Boy Advance,Destination Software,Atomic Planet Entertainment,Action,2007.0
Arctic Tale,Nintendo DS,Destination Software,Atomic Planet Entertainment,Action,2007.0
Arcus Odyssey,Sega Genesis,Renovation Products,Wolf Team,Action,1991.0
Arcus Odyssey,Nintendo SNES,Sammy Corporation,Wolf Team,Action,1993.0
Arcus Odyssey,Sega Nomad,Renovation Products,Wolf Team,Action,1991.0
Arcus Spirits,Nintendo SNES,Sammy Corporation,Wolf Team,Action,1993.0
Ardy Lightfoot,Nintendo SNES,Titus Software,ASCII Corporation,Action,1996.0
Arena: Maze of Death,Sega Game Gear,Sega,Eden Entertainment Software,Action,1995.0
