Game,System,Publisher,Developer,Category,Year
Majin and the Forsaken Kingdom,Microsoft Xbox 360,Namco,Game Republic,Action,
Major Mayhem,Apple II,Nibble Magazine,Capitol Ideas Software,Action,1987.0
Make My Video: INXS,Sega CD,Sega,Digital Pictures Inc.,Action,1992.0
Make My Video: Kris Kross,Sega CD,Sony Computer Entertainment,Digital Pictures Inc.,Action,1992.0
Make My Video: Marky Mark and the Funky Bunch,Sega CD,Sega,Digital Pictures Inc.,Action,1992.0
Making History: The Calm & the Storm,Valve Steam,Strategy First,Muzzy Lane,Action,2007.0
Malaika: Prehistoric Quest,MSX,Karoshi,Karoshi,Action,2006.0
Malaika: Prehistoric Quest,MSX 2,Karoshi,Karoshi,Action,2006.0
Malice,Microsoft Xbox,Mud Duck Productions,Argonaut Software Ltd.,Action,2004.0
Malice,Sony Playstation 2,Evolved Games,Argonaut Software Ltd.,Action,2004.0
Mama Llama,Commodore 64,Llamasoft,Llamasoft,Action,1985.0
Mambo,MSX 2,Positive,Positive,Action,1989.0
Mambo,MSX,Positive,Positive,Action,1989.0
Mambo,Sinclair ZX Spectrum,Positive,Positive,Action,1989.0
Mambo,Amstrad CPC,Positive,Positive,Action,1989.0
Mangia',Atari 2600,Spectravision,Spectravision,Action,1983.0
Manhole-e,Nintendo Game Boy Advance,Nintendo,Nintendo,Action,2002.0
Manic Miner,Nintendo Game Boy Advance,Jester Interactive Publi...,Jester Interactive Publi...,Action,2002.0
Manic Miner,Sinclair ZX Spectrum,Software Projects,Bug-Byte Software,Action,1983.0
Manic Miner,MSX,Software Projects,Bug-Byte Software,Action,1985.0
Manic Miner,MSX 2,Software Projects,Bug-Byte Software,Action,1985.0
Manic Miner,MGT Sam Coupe,Revelation Software,Revelation Software,Action,1992.0
Manic Miner,Dragon 32-64,Software Projects,Bug-Byte Software,Action,1984.0
Mappy,MSX 2,Namco Limited,Namco Limited,Action,1984.0
Mappy,MSX,Namco Limited,Namco Limited,Action,1984.0
Mappy,Nintendo Game Boy Advance,Nintendo,Namco Limited,Action,2004.0
Mappy,Sega Game Gear,Namco Limited,Namco Limited,Action,1991.0
Mappy,Nintendo NES,Namco Limited,Namco Limited,Action,1984.0
Mappy Land,Nintendo NES,Taxan,Namco Limited,Action,1989.0
Marble Madness,Nintendo NES,Milton Bradley,Atari,Action,1989.0
Marble Madness,Sega Genesis,Electronic Arts,Atari,Action,1991.0
Marble Madness,Nintendo Game Boy,Mindscape,Atari,Action,1991.0
Marble Madness,Apple II,Electronic Arts,Atari,Action,1986.0
Marble Madness,Commodore Amiga,Electronic Arts,Atari,Action,1986.0
Marble Madness,Commodore 64,Electronic Arts,Atari,Action,1986.0
Marble Madness,Atari ST,Electronic Arts,Atari,Action,1986.0
Marble Madness,Sega Nomad,Electronic Arts,Atari,Action,1991.0
Marble Madness Construction Set,Sinclair ZX Spectrum,Melbourne House,Melbourne House,Action,1986.0
Marble Madness Construction Set,Amstrad CPC,Melbourne House,Melbourne House,Action,1986.0
Marble Madness Deluxe Edition,Amstrad CPC,Melbourne House,Melbourne House,Action,1987.0
Marble Madness Deluxe Edition,Sinclair ZX Spectrum,Melbourne House,Melbourne House,Action,1987.0
Mare Nostrum,Valve Steam,Thinking Studios,Sandstorm Productions,Action,2008.0
Marine Wars,Atari 2600,Konami,Konami,Action,1983.0
Mario Bros.,Atari 7800,Atari,Atari,Action,1988.0
Mario Party,Nintendo N64,Nintendo,Hudson Soft,Action,1999.0
Mario Party 2,Nintendo N64,Nintendo,Hudson Soft,Action,2000.0
Mario Party 3,Nintendo N64,Nintendo,Hudson Soft,Action,2001.0
Mario vs. Donkey Kong,Nintendo Game Boy Advance,Nintendo,Nintendo,Action,2004.0
Marko,Nintendo SNES,Acclaim Entertainment,Domark Software,Action,1995.0
Marko,Sega CD,Domark Software,Cartoon Mavericks,Action,1995.0
Marko's Magic Football,Sega Genesis,Domark Software,Cartoon Mavericks,Action,1994.0
Marko's Magic Football,Sega Game Gear,Domark Software,Domark Software,Action,1994.0
Marko's Magic Football,Sega Nomad,Domark Software,Cartoon Mavericks,Action,1994.0
Marvel Land,Sega Genesis,Namco Limited,Namco Limited,Action,1991.0
Marvel Land,Sega Nomad,Namco Limited,Namco Limited,Action,1991.0
Marvel Super Hero Squad: Comic Combat,Microsoft Xbox 360,THQ,Griptonite,Action,
Marvel Ult. Alliance,Microsoft Xbox 360,Activision,Raven Software,Action,2008.0
Marvel Ult. Alliance 2,Microsoft Xbox 360,Activision,Vicarious Visions,Action,
Marvin's Marvellous Adventure,Commodore Amiga,21st Century Entertainment,Infernal Byte Systems,Action,1994.0
Marvin's Marvellous Adventure,Commodore Amiga CD32,21st Century Entertainment,Infernal Byte Systems,Action,1995.0
Mary-Kate and Ashley: Girls Night Out,Nintendo Game Boy Advance,Acclaim Entertainment,Powerhead Games,Action,2002.0
Master Chu And The Drunkard Hu,Nintendo NES,Color Dreams,Joy Van,Action,1989.0
Master Levels for Doom II,Valve Steam,id Software,id Software,Action,1995.0
Masters of the Universe: He-Man: Power of Greyskull,Nintendo Game Boy Advance,TDK Mediactive,Taniko,Action,2002.0
Masters of the Universe: The Arcade Game,Sinclair ZX Spectrum,U.S. Gold Ltd.,Adventuresoft UK,Action,1987.0
Masters of the Universe: The Arcade Game,MSX,Infogrames,Infogrames,Action,1987.0
Masters of the Universe: The Arcade Game,MSX 2,Infogrames,Infogrames,Action,1987.0
Masters of the Universe: The Arcade Game,Commodore 64,U.S. Gold Ltd.,Adventuresoft UK,Action,1987.0
Masters of the Universe: The Power of He-Man,Mattel Intellivision,Mattel Electronics,Mattel Electronics,Action,1983.0
Max Payne 3,Microsoft Xbox 360,Rockstar Games,Rockstar Studios,Action,2012.0
Mayhem in Monsterland,Commodore 64,Apex Computer Productions,Apex Computer Productions,Action,1993.0
Maze Hunter 3-D,Sega Master System,Sega,Sega,Action,1987.0
McDonald's: Ronald in the Magical World,Sega Game Gear,Sega,Sega,Action,1994.0
Me & My Katamari,Sony PSP,Namco Limited,Namco Limited,Action,
MechAssault,Microsoft Xbox,Microsoft Game Studios,Day:1:Studios,Action,
Medal of Honor: Airborne,Valve Steam,Electronic Arts,EA Los Angeles,Action,2007.0
Medal of Honor: Frontline,Microsoft Xbox,Electronic Arts,Electronic Arts,Action,2002.0
Medal of Honor: Frontline,Nintendo GameCube,Electronic Arts,Electronic Arts,Action,2002.0
Medieval Mayhem,Atari 2600,AtariAge,Spiceware,Action,
MediEvil II,Sony Playstation,Sony Computer Entertainment,Sony Computer Entertainment,Action,2000.0
Meet the Robinsons,Microsoft Xbox 360,Disney,Avalanche,Action,2009.0
Mega Apocalypse,Amstrad CPC,Martech Games,Martech Games,Action,1988.0
Mega Bomberman,NEC TurboGrafx-16,Hudson Soft,Hudson Soft,Action,1993.0
Mega Bomberman,NEC PC Engine,Hudson Soft,Hudson Soft,Action,1993.0
Mega Bomberman,Sega Genesis,Sega,Hudson Soft,Action,1994.0
Mega Bomberman,Sega Nomad,Sega,Hudson Soft,Action,1994.0
Mega Man,Sega Game Gear,U.S. Gold Ltd.,Freestyle,Action,1994.0
Mega Turrican,Sega Genesis,Data East,Factor 5,Action,1994.0
Mega Turrican,Sega Nomad,Data East,Factor 5,Action,1994.0
Mega-Apocalypse,Sinclair ZX Spectrum,Martech Games,Martech Games,Action,1988.0
Mega-Apocalypse,Commodore 64,Martech Games,Martech Games,Action,1987.0
MegaMind: Ultimate Showdown,Microsoft Xbox 360,THQ,THQ,Action,2010.0
Melbourne Tatty,Atari 2600,AtariAge,Neo Games,Action,
Mercenaries 2,Microsoft Xbox 360,Electronic Arts,Pandemic Studios,Action,2008.0
Mercenaries: Playground of Destruction,Microsoft Xbox,LucasArts / Lucasfilm,Pandemic Studios,Action,2005.0
Mercenaries: Playground of Destruction,Sony Playstation 2,LucasArts / Lucasfilm,Pandemic Studios,Action,2005.0
Metal Drift,Valve Steam,Black Jacket Studios,Black Jacket Studios,Action,2009.0
Metal Gear,Commodore 64,Ultra Software,Konami,Action,1990.0
Metal Gear,MSX,Konami,Konami,Action,1987.0
Metal Gear,MSX 2,Konami,Konami,Action,1987.0
Metal Gear,Nintendo NES,Ultra Software,Konami,Action,1988.0
Metal Gear 2: Solid Snake,MSX 2,Konami,Konami,Action,1990.0
Metal Gear 2: Solid Snake,MSX,Konami,Konami,Action,1990.0
Metal Gear Solid,Nintendo Game Boy Color,Konami,Konami,Action,2000.0
Metal Gear Solid RISING,Microsoft Xbox 360,Konami,Konami,Action,2009.0
Metal Morph,Nintendo SNES,Pony Canyon,ORIGIN Systems,Action,1994.0
Metal Slug - Super Vehicle-001,Sony Playstation 2,SNK Corporation,SNK Corporation,Action,2006.0
Metal Slug - Super Vehicle-001,Sega Saturn,SNK Corporation,SNK Corporation,Action,1997.0
Metal Slug 2,SNK Neo-Geo CD,SNK Corporation,SNK Corporation,Action,1998.0
Metal Slug 2: Super Vehicle - 001/II,SNK Neo-Geo AES,SNK Corporation,SNK Corporation,Action,1998.0
Metal Slug 2: Super Vehicle - 001/II,SNK Neo-Geo MVS,SNK Corporation,SNK Corporation,Action,1998.0
Metal Slug: Super Vehicle - 001,SNK Neo-Geo MVS,Nazca Corporation,Nazca Corporation,Action,1996.0
Metal Slug: Super Vehicle - 001,SNK Neo-Geo AES,Nazca Corporation,Nazca Corporation,Action,1996.0
Metal Slug: Super Vehicle - 001,Sony Playstation,SNK Corporation,SNK Corporation,Action,1997.0
Metal Warriors,Nintendo SNES,Konami,LucasArts Entertainment ...,Action,1995.0
Metro 2033,Microsoft Xbox 360,THQ,4A-Games,Action,2010.0
Metro 2033,Valve Steam,THQ,4A Games,Action,2010.0
Metroid Fusion,Nintendo Game Boy Advance,Nintendo,Nintendo,Action,2002.0
Metroid II - Return of Samus,Nintendo Game Boy,Nintendo,Nintendo R&D1,Action,1992.0
Metroid: Zero Mission,Nintendo Game Boy Advance,Nintendo,Nintendo,Action,2004.0
MGS 2&3,Microsoft Xbox 360,Konami,Kojima Productions,Action,2011.0
MGS PW HD,Microsoft Xbox 360,Konami,Konami,Action,2011.0
Miami Vice,Sony Playstation 2,Davilex Games,Atomic Planet Entertainment,Action,2004.0
Miami Vice,Microsoft Xbox,Davilex Games,Atomic Planet Entertainment,Action,2004.0
Michael Jackson's Moonwalker,Sega Genesis,Sega,Sega,Action,1990.0
Michael Jackson's Moonwalker,Sega Master System,Sega,Sega,Action,1990.0
Michael Jackson's Moonwalker,Sega Nomad,Sega,Sega,Action,1990.0
Mickey Mania,Sega Nomad,Sony Computer Entertainment,Traveller's Tales,Action,1994.0
Mickey Mania,Sony Playstation,Sony Computer Entertainment,Traveller's Tales,Action,1996.0
Mickey Mania,Sega Genesis,Sony Computer Entertainment,Traveller's Tales,Action,1994.0
Mickey Mania,Sega CD,Sony Computer Entertainment,Traveller's Tales,Action,1994.0
Mickey Mania,Nintendo SNES,Sony Computer Entertainment,Traveller's Tales,Action,1994.0
Mickey Mouse,Nintendo Game Boy,Kotobuki System,Kotobuki System,Action,1989.0
Micro Surgeon,Texas Instruments TI 99/4A,Imagic,Imagic,Action,1983.0
Microball,Sinclair ZX Spectrum,Alternative Software,Alternative Software,Action,1988.0
Microball,Commodore 64,Alternative Software,Alternative Software,Action,1987.0
MicroBot,Microsoft Xbox Live Arcade,Electronic Arts,Naked Sky,Action,2010.0
Microsurgeon,Mattel Intellivision,Imagic,Imagic,Action,1982.0
Midnight Club: LA,Microsoft Xbox 360,Rockstar Games,Rockstar San Diego,Action,2008.0
Midnight Resistance,Sinclair ZX Spectrum,Ocean Software Ltd.,Data East Corporation,Action,1990.0
Midnight Resistance,Sega Nomad,Data East Corporation,Data East Corporation,Action,1990.0
Midnight Resistance,Commodore 64,Ocean Software Ltd.,Data East Corporation,Action,1990.0
Midnight Resistance,Atari ST,Ocean Software Ltd.,Data East Corporation,Action,1990.0
Midnight Resistance,Commodore Amiga,Ocean Software Ltd.,Data East Corporation,Action,1990.0
Midnight Resistance,Sega Genesis,Data East Corporation,Data East Corporation,Action,1990.0
Midnight Resistance,Amstrad CPC,Ocean Software Ltd.,Data East Corporation,Action,1990.0
Mighty Tyranitar,Nintendo Game Boy Advance,Wizards of the Coast,Nintendo,Action,2003.0
Mikie,Amstrad CPC,Imagine Software,Konami,Action,1986.0
Mikie,Commodore 64,Imagine Software,Konami,Action,1986.0
Mikie,Sinclair ZX Spectrum,Imagine Software,Konami,Action,1986.0
Millipede,Atari ST,Atari,Atari,Action,1986.0
Millipede,Nintendo NES,HAL Laboratory,Atari,Action,1987.0
Millipede,Atari 2600,Atari,Atari,Action,1984.0
Milon's Secret Castle,Nintendo NES,Hudson Soft,Hudson Soft,Action,1986.0
Milon's Secret Castle,Nintendo Game Boy,Hudson Soft,Hudson Soft,Action,1993.0
Mine Shaft,Apple II,Sierra On-Line,Sierra On-Line,Action,1983.0
Mine Storm,GCE Vectrex,GCE,GCE,Action,1982.0
Mine Storm II,GCE Vectrex,GCE,GCE,Action,1982.0
Miner 2049er,Atari 2600,Tigervision,Big Five Software,Action,1983.0
Miner 2049er,Atari 5200,Big Five Software,Big Five Software,Action,1983.0
Miner 2049er,Coleco Vision,Micro Fun,Big Five Software,Action,1983.0
Miner 2049er,Apple II,Micro Fun,Big Five Software,Action,1982.0
Miner 2049er,Atari 8-bit,Big Five Software,Big Five Software,Action,1982.0
Miner 2049er,Nintendo Game Boy,Microfun,Big Five Software,Action,1992.0
Miner 2049er,Commodore 64,Reston Software,Big Five Software,Action,1983.0
Miner 2049er,Commodore VIC-20,Reston Software,Big Five Software,Action,1984.0
Miner 2049'er,Texas Instruments TI 99/4A,Tigervision,Big Five Software,Action,1983.0
Miner 2049er Volume II,Atari 2600,Tigervision,Big Five Software,Action,1983.0
Mini Ninjas,Valve Steam,Square,IO Interactive,Action,2009.0
MINI NINJAS,Microsoft Xbox 360,Square,IO Interactive,Action,2009.0
Miracle Adventure,SNK Neo-Geo MVS,Data East Corporation,Data East Corporation,Action,1993.0
Miracle Adventure,SNK Neo-Geo AES,Data East Corporation,Data East Corporation,Action,1993.0
Mirror's Edge,Microsoft Xbox 360,Electronic Arts,DICE,Action,2008.0
Mirror's Edge,Valve Steam,Electronic Arts,DICE,Action,2009.0
Missile Command,Atari 5200,Atari,Atari,Action,1982.0
Missile Command,Atari 2600,Atari,Atari,Action,1981.0
Missile Command,Sony Playstation,Atari,Meyer/Glass Interactive,Action,1999.0
Missile Command,Atari 8-bit,Atari,Atari,Action,1982.0
Missile Defense 3-D,Sega Master System,Sega,Sega,Action,1987.0
Mission Impossible,Nintendo N64,Infogrames,Infogrames,Action,1998.0
Mission Impossible,Nintendo Game Boy Color,Infogrames,Rebellion,Action,2000.0
Mission Impossible: Operation Surma,Nintendo Game Boy Advance,Atari,M4,Action,2003.0
Mizubaku Daibouken,Sega Saturn,Ving,Ving,Action,1998.0
Modern Warfare®,Microsoft Xbox 360,Activision,Infinity,Action,2007.0
Modern Warfare® 2,Microsoft Xbox 360,Activision,Infinity,Action,2009.0
MOH Airborne,Microsoft Xbox 360,Electronic Arts,Electronic Arts,Action,2007.0
Monday Night Combat,Valve Steam,Uber Entertainment,Uber Entertainment,Action,2011.0
Monkey Island 2: SE,Microsoft Xbox Live Arcade,LucasArts,LucasArts,Action,2010.0
Monkey Island: SE,Microsoft Xbox Live Arcade,Xbox LIVE Arcade,LucasArts,Action,2009.0
Monkey Kong,Tandy TRS-80 CoCo,Med Systems Software,Med Systems Software,Action,1983.0
Monkey Kong,Dragon 32-64,MicroDeal,Med Systems Software,Action,1984.0
Monster Business,Commodore Amiga,Eclipse Software Design,Eclipse Software Design,Action,1991.0
Monster Business,Atari ST,Eclipse Software Design,Eclipse Software Design,Action,1991.0
Monster Party,Nintendo NES,Bandai,Bandai,Action,1989.0
Monsters Inc.,Sony Playstation 2,Sony Computer Entertainment,Artificial Mind & Movement,Action,2002.0
Monsters vs. Aliens,Microsoft Xbox 360,Activision,Beenox,Action,2009.0
Montezuma's Revenge,Commodore 64,Parker Brothers,Parker Brothers,Action,1984.0
Montezuma's Revenge,Sega Master System,Parker Brothers,Parker Brothers,Action,1989.0
Montezuma's Revenge,Atari 8-bit,Parker Brothers,Parker Brothers,Action,1984.0
Montezuma's Revenge,Apple II,BCI Software,Parker Brothers,Action,1984.0
Montezuma's Revenge,Coleco Vision,Parker Brothers,Parker Brothers,Action,1984.0
Montezuma's Revenge,Atari 2600,Parker Brothers,Parker Brothers,Action,1984.0
Montezuma's Revenge,Atari 5200,Parker Brothers,Parker Brothers,Action,1983.0
MOON DIVER,Microsoft Xbox Live Arcade,Square,AQ INTERACTIVE INC.,Action,2011.0
Moon Patrol,Commodore 64,Atarisoft,Irem Corp,Action,1983.0
Moonshadow,Commodore 64,Idea Software,Idea Software,Action,1991.0
Mopiranger,MSX 2,Konami,Konami,Action,1985.0
Mopiranger,MSX,Konami,Konami,Action,1985.0
Mortadelo y Filemon 2,MSX,Dro Soft,Animagic,Action,1989.0
Mortadelo y Filemon 2,MSX 2,Dro Soft,Animagic,Action,1989.0
Mortadelo y Filemon 2,Amstrad CPC,Dro Soft,Animagic,Action,1989.0
Mortadelo y Filemón 2,Sinclair ZX Spectrum,Dro Soft,Animagic,Action,1989.0
Mortal Kombat Mythologies: Sub-Zero,Nintendo N64,Midway Games,Avalanche Software,Action,1997.0
Motos,Amstrad CPC,Mastertronic,Namco Limited,Action,1987.0
Motos,Sinclair ZX Spectrum,Mastertronic,Namco Limited,Action,1987.0
Motos,Commodore 64,Mastertronic,Namco Limited,Action,1987.0
Mount & Blade: Warband,Valve Steam,Paradox,Tale Worlds,Action,2010.0
Mount & Blade: With Fire & Sword,Valve Steam,Paradox,TaleWorlds,Action,2011.0
Mouse Trap,Commodore Amiga,Tynesoft,Microvalue,Action,1987.0
Mouse Trap,Atari ST,Tynesoft,Microvalue,Action,1987.0
Mr Nutz,Sega Nomad,Ocean Software Ltd.,Ocean Software Ltd.,Action,1994.0
Mr Nutz,Sega Genesis,Ocean Software Ltd.,Ocean Software Ltd.,Action,1994.0
Mr. Blobby,Commodore Amiga,Millennium Interactive,Freestyle,Action,1994.0
Mr. Bones,Sega Saturn,Sega,Zono,Action,1996.0
Mr. Chin's Gourmet Paradise,Nintendo Game Boy,Romstar Incorporated,Romstar Incorporated,Action,1990.0
Mr. Cool,Atari 8-bit,Sierra On-Line,Sierra On-Line,Action,1983.0
Mr. Cool,Apple II,Sierra On-Line,Sierra On-Line,Action,1983.0
Mr. Cool,Commodore 64,Sierra On-Line,Sierra On-Line,Action,1983.0
Mr. DRILLER Online,Microsoft Xbox Live Arcade,Xbox LIVE Arcade,Namco,Action,2008.0
Mr. DRILLER Online,Microsoft Xbox 360,Xbox LIVE Arcade,Namco,Action,2008.0
Mr. Nutz,Nintendo SNES,Ocean Software Ltd.,Ocean Software Ltd.,Action,1994.0
Mr. Nutz,Nintendo Game Boy Advance,Infogrames,DreamOn Studio,Action,2002.0
Mr. Nutz,Nintendo Game Boy Color,Infogrames,Planet Interactive Devel...,Action,1999.0
Mr. Nutz: Hoppin' Mad,Commodore Amiga,Ocean Software Ltd.,NEON Software,Action,1994.0
Mr. Robot,Valve Steam,Moonpod,Moonpod,Action,2007.0
Mr. Wimpy: The Hamburger Game,Commodore 64,Ocean Software Ltd.,Ocean Software Ltd.,Action,1984.0
Mr. Wimpy: The Hamburger Game,Sinclair ZX Spectrum,Ocean Software Ltd.,Ocean Software Ltd.,Action,1984.0
Ms. Pac-Man,Sinclair ZX Spectrum,Atari,General Computer Corpora...,Action,1985.0
Ms. Pac-Man,Texas Instruments TI 99/4A,Atari,General Computer Corpora...,Action,1983.0
Ms. Pac-Man,Sega Nomad,Tengen Ltd.,General Computer Corpora...,Action,1991.0
Ms. Pac-Man,Commodore 64,Atari,General Computer Corpora...,Action,1984.0
Ms. Pac-Man,Commodore VIC-20,Atari,General Computer Corpora...,Action,1983.0
Ms. Pac-Man,Atari 8-bit,Atari,General Computer Corpora...,Action,1983.0
Ms. Pac-Man,Apple II,Atari,General Computer Corpora...,Action,1983.0
Ms. Pac-Man,Nintendo Game Boy,Namco Limited,General Computer Corpora...,Action,1993.0
Ms. Pac-Man,Sega Game Gear,Namco Limited,General Computer Corpora...,Action,1995.0
Ms. Pac-Man,Atari Lynx,Atari,General Computer Corpora...,Action,1990.0
Ms. Pac-Man,Sega Master System,Tengen Ltd.,General Computer Corpora...,Action,1991.0
Ms. Pac-Man,Nintendo NES,Namco Limited,General Computer Corpora...,Action,1990.0
Ms. Pac-Man,Sega Genesis,Tengen Ltd.,General Computer Corpora...,Action,1991.0
Ms. Pac-Man,Atari 2600,Atari,General Computer Corpora...,Action,1982.0
Ms. Pac-Man Maze Madness,Nintendo N64,Namco Limited,Mass Media,Action,2000.0
Ms. Splosion Man,Microsoft Xbox Live Arcade,Microsoft,Twisted Pixel Games,Action,2010.0
MTV's Beavis and Butthead,Sega Nomad,Viacom New Media,Radical Entertainment Inc.,Action,1994.0
MTV's Beavis and Butthead,Sega Genesis,Viacom New Media,Radical Entertainment Inc.,Action,1994.0
Muncher,Sinclair ZX Spectrum,Silversoft,Silversoft,Action,1982.0
MunchMan,Texas Instruments TI 99/4A,Texas Instruments,Texas Instruments,Action,1982.0
Musashi Ganryuki,SNK Neo-Geo MVS,SNK Corporation,Visco Corporation,Action,1999.0
Musashi Ganryuki,SNK Neo-Geo AES,SNK Corporation,Visco Corporation,Action,1999.0
Mutan Zone,Amstrad CPC,Opera Soft,Opera Soft,Action,1988.0
Mutan Zone,MSX,Opera Soft,Opera Soft,Action,1988.0
Mutan Zone,Sinclair ZX Spectrum,Opera Soft,Opera Soft,Action,1989.0
Mutan Zone,MSX 2,Opera Soft,Opera Soft,Action,1988.0
Mutant Storm: Reloaded,Valve Steam,PomPom Games,PomPom,Action,2012.0
Mutant Virus,Nintendo NES,American Softworks Corpo...,American Softworks Corpo...,Action,1992.0
Mutation Nation,SNK Neo-Geo MVS,SNK Corporation,SNK Corporation,Action,1992.0
Mutation Nation,SNK Neo-Geo AES,SNK Corporation,SNK Corporation,Action,1992.0
Mutation Nation,SNK Neo-Geo CD,SNK Corporation,SNK Corporation,Action,1995.0
My Love Mickey & Donald,Sega Saturn,Sega,Sega,Action,1998.0
MySims SkyHeroes,Microsoft Xbox 360,Electronic Arts,Artificial Mind & Movement,Action,2010.0
Mystery Quest,Nintendo NES,Taxan,Carry Lab.,Action,1988.0
Mystic Defender,Sega Genesis,Sega,Sega,Action,1989.0
Mystic Defender,Sega Nomad,Sega,Sega,Action,1989.0
Mystical Ninja 2 Starring Goemon,Nintendo N64,Konami,Konami,Action,1999.0
Mystical Ninja Starring Goemon,Nintendo N64,Konami,Konami,Action,1998.0
Myth: History in the Making,Nintendo NES,Mindscape,System 3 Software,Action,1991.0
Myth: History in the Making,Commodore Amiga CD32,System 3 Software,System 3 Software,Action,1994.0
Myth: History in the Making,Amstrad CPC,System 3 Software,System 3 Software,Action,1989.0
Myth: History in the Making,Sinclair ZX Spectrum,System 3 Software,System 3 Software,Action,1989.0
Myth: History in the Making,Commodore Amiga,System 3 Software,System 3 Software,Action,1992.0
Myth: History in the Making,Commodore 64,System 3 Software,System 3 Software,Action,1989.0
N+,Microsoft Xbox Live Arcade,Microsoft,Slick Entertainment Inc.,Action,2010.0
N+,Sony PSP,Atari,Metanet Software,Action,
NAM-1975,SNK Neo-Geo CD,SNK Corporation,SNK Corporation,Action,1994.0
NAM-1975,SNK Neo-Geo AES,SNK Corporation,SNK Corporation,Action,1991.0
NAM-1975,SNK Neo-Geo MVS,SNK Corporation,SNK Corporation,Action,1991.0
Name this Game,Atari 2600,Carrere Video Distribution,U.S. Games,Action,1983.0
Narnia: Prince Caspian,Microsoft Xbox 360,Disney,Traveller's Tales,Action,2008.0
Naruto The Broken Bond,Microsoft Xbox 360,Ubisoft,Ubisoft,Action,2008.0
Nation Red,Valve Steam,DiezelPower,DiezelPower,Action,2009.0
Naughty Bear,Microsoft Xbox 360,505 Games,Artificial Mind & Movement,Action,2010.0
Naval Assault,Microsoft Xbox 360,505 Games,Artech Studios,Action,2010.0
Naval Warfare,Valve Steam,Just A Game GmbH,Game Distillery s.r.o.,Action,2011.0
Navy Moves,Sinclair ZX Spectrum,Dinamic Software,Dinamic Software,Action,1988.0
Navy Moves,MSX,Dinamic Software,Dinamic Software,Action,1988.0
Navy Moves,Commodore Amiga,Dinamic Software,Dinamic Software,Action,1988.0
Navy Moves,MSX 2,Dinamic Software,Dinamic Software,Action,1988.0
Navy Moves,Commodore 64,Dinamic Software,Dinamic Software,Action,1988.0
Navy Moves,Atari ST,Dinamic Software,Dinamic Software,Action,1988.0
Navy Moves,Amstrad CPC,Dinamic Software,Dinamic Software,Action,1988.0
Navy Seal,Commodore 64,Cosmi Corporation,Cosmi Corporation,Action,1989.0
NCIS Game,Microsoft Xbox 360,Ubisoft,Ubisoft,Action,2011.0
NecroVision,Valve Steam,1C Company,The Farm 51,Action,2009.0
NecrovisioN: Lost Company,Valve Steam,1C Company,The Farm 51,Action,2010.0
Need for Speed Carbon,Microsoft Xbox 360,Electronic Arts,EA Black Box,Action,2006.0
Need for Speed Hot Pursuit,Microsoft Xbox 360,Electronic Arts,Criterion Games,Action,2011.0
NEED FOR SPEED MOST WANTED,Microsoft Xbox 360,Electronic Arts,Criterion Games,Action,2012.0
NEIL Android,Sinclair ZX Spectrum,Alternative Software,Alternative Software,Action,1988.0
NEIL Android,Commodore 64,Alternative Software,Alternative Software,Action,1988.0
NEIL Android,Amstrad CPC,Alternative Software,Alternative Software,Action,1988.0
Nemesis the Warlock,Amstrad CPC,Martech Games,Creative Reality,Action,1987.0
Nemesis the Warlock,Commodore 64,Martech Games,Creative Reality,Action,1987.0
Nemesis the Warlock,Sinclair ZX Spectrum,Martech Games,Creative Reality,Action,1987.0
Neo Bomberman,SNK Neo-Geo AES,Hudson Soft,Hudson Soft,Action,1997.0
Neo Bomberman,SNK Neo-Geo MVS,Hudson Soft,Hudson Soft,Action,1997.0
Neptune's Daughters,Atari 8-bit,Empire Software,Empire Software,Action,1984.0
Netherworld,Amstrad CPC,Hewson Consultants,Hewson Consultants,Action,1988.0
Neutopia,NEC PC Engine,Hudson Soft,Hudson Soft,Action,1989.0
Neutopia,NEC TurboGrafx-16,Hudson Soft,Hudson Soft,Action,1989.0
Neutral Zone,Commodore 64,Access Software,Access Software,Action,1983.0
Neutron Zapper,Commodore VIC-20,Galactic Software,Galactic Software,Action,1983.0
NeverDead,Microsoft Xbox 360,Konami,Rebellion,Action,2012.0
New,Coleco Vision,Public Domain,Daniel Bienvenu,Action,2001.0
New Adventure Island,NEC TurboGrafx-16,Hudson Soft,Hudson Soft,Action,1992.0
New Adventure Island,NEC PC Engine,Hudson Soft,Hudson Soft,Action,1992.0
New Ghostbusters 2,Nintendo NES,HAL Laboratory,HAL Laboratory,Action,1990.0
New York City,Atari 8-bit,Synapse Software,Synapse Software,Action,1984.0
New York City,Commodore 64,Synapse Software,Synapse Software,Action,1984.0
New Zealand Story,Atari ST,Ocean Software Ltd.,Taito Corporation,Action,1989.0
New Zealand Story,Commodore Amiga,Ocean Software Ltd.,Taito Corporation,Action,1989.0
New Zealand Story,Amstrad CPC,Ocean Software Ltd.,Taito Corporation,Action,1989.0
New Zealand Story,Sega Master System,Taito Corporation,Taito Corporation,Action,1992.0
New Zealand Story,Nintendo NES,Taito Corporation,Taito Corporation,Action,1991.0
Nexuiz,Valve Steam,THQ,Illfonic,Action,2012.0
NFS ProStreet,Microsoft Xbox 360,Electronic Arts,EA Black Box,Action,2010.0
NFS Undercover,Microsoft Xbox 360,Electronic Arts,EA Black Box,Action,2008.0
